# Wavelength(um) Reflectance(%)
1.094094094094093972e+00 1.322008390555953240e-02
1.095345345345345223e+00 1.136106334285046440e-02
1.096596596596596473e+00 9.604201492100514562e-03
1.097847847847847724e+00 7.960309382816950496e-03
1.099099099099098975e+00 6.440213756637191457e-03
1.100350350350350226e+00 5.054714860930166649e-03
1.101601601601601477e+00 3.814541964637493433e-03
1.102852852852852727e+00 2.730306818207316188e-03
1.104104104104103978e+00 1.812455322675221754e-03
1.105355355355355229e+00 1.071217715692413712e-03
1.106606606606606480e+00 5.165576237522214852e-04
1.107857857857857731e+00 1.581203691024030036e-04
1.109109109109108982e+00 5.180955850676223426e-06
1.110360360360360232e+00 6.659219162681104666e-05
1.111611611611611483e+00 3.507334278648515042e-04
1.112862862862862734e+00 8.654604224001337213e-04
1.114114114114113985e+00 1.618056841783746969e-03
1.115365365365365236e+00 2.615187926760565145e-03
1.116616616616616486e+00 3.862856842128465935e-03
1.117867867867867737e+00 5.366364221256377139e-03
1.119119119119118988e+00 7.130271395648824125e-03
1.120370370370370239e+00 9.158367771046159803e-03
1.121621621621621490e+00 1.145364277385884505e-02
1.122872872872872740e+00 1.401826274565631456e-02
1.124124124124123991e+00 1.685355310961333258e-02
1.125375375375375242e+00 1.995998607214523324e-02
1.126626626626626493e+00 2.333717405651797305e-02
1.127877877877877744e+00 2.698386899420012267e-02
1.129129129129128994e+00 3.089796752563106139e-02
1.130380380380380245e+00 3.507652208629488677e-02
1.131631631631631496e+00 3.951575777813794155e-02
1.132882882882882747e+00 4.421109485204734874e-02
1.134134134134133998e+00 4.915717655575509160e-02
1.135385385385385248e+00 5.434790203474355180e-02
1.136636636636636499e+00 5.977646391269114678e-02
1.137887887887887750e+00 6.543539012401869415e-02
1.139139139139139001e+00 7.131658952503663884e-02
1.140390390390390252e+00 7.741140077289571098e-02
1.141641641641641503e+00 8.371064393345217791e-02
1.142892892892892753e+00 9.020467426064240901e-02
1.144144144144144004e+00 9.688343758088094337e-02
1.145395395395395255e+00 1.037365267164511301e-01
1.146646646646646506e+00 1.107532383909798496e-01
1.147897897897897757e+00 1.179226300778239145e-01
1.149149149149149007e+00 1.252335762771875638e-01
1.150400400400400258e+00 1.326748237396366270e-01
1.151651651651651731e+00 1.402350451909954443e-01
1.152902902902902982e+00 1.479028911556040382e-01
1.154154154154154233e+00 1.556670395202492396e-01
1.155405405405405483e+00 1.635162425289002908e-01
1.156656656656656734e+00 1.714393709474029137e-01
1.157907907907907985e+00 1.794254551866864278e-01
1.159159159159159236e+00 1.874637232217928051e-01
1.160410410410410487e+00 1.955436351913131254e-01
1.161661661661661737e+00 2.036549146070319449e-01
1.162912912912912988e+00 2.117875761459279693e-01
1.164164164164164239e+00 2.199319500358817570e-01
1.165415415415415490e+00 2.280787030819648176e-01
1.166666666666666741e+00 2.362188564119266643e-01
1.167917917917917991e+00 2.443438000471858107e-01
1.169169169169169242e+00 2.524453044293377135e-01
1.170420420420420493e+00 2.605155290517810474e-01
1.171671671671671744e+00 2.685470283619910137e-01
1.172922922922922995e+00 2.765327551118647587e-01
1.174174174174174246e+00 2.844660613423158346e-01
1.175425425425425496e+00 2.923406971935471610e-01
1.176676676676676747e+00 3.001508077349321901e-01
1.177927927927927998e+00 3.078909280082677835e-01
1.179179179179179249e+00 3.155559764756165064e-01
1.180430430430430500e+00 3.231412470586070285e-01
1.181681681681681750e+00 3.306423999498226407e-01
1.182932932932933001e+00 3.380554513694315477e-01
1.184184184184184252e+00 3.453767624316368412e-01
1.185435435435435503e+00 3.526030272760053430e-01
1.186686686686686754e+00 3.597312606087274545e-01
1.187937937937938004e+00 3.667587847884310470e-01
1.189189189189189255e+00 3.736832165804763184e-01
1.190440440440440506e+00 3.805024536930836643e-01
1.191691691691691757e+00 3.872146611980298858e-01
1.192942942942943008e+00 3.938182579283256990e-01
1.194194194194194258e+00 4.003119029353833236e-01
1.195445445445445509e+00 4.066944820784597070e-01
1.196696696696696760e+00 4.129650948102262520e-01
1.197947947947948011e+00 4.191230412135696914e-01
1.199199199199199262e+00 4.251678093367960987e-01
1.200450450450450512e+00 4.310990628668801561e-01
1.201701701701701763e+00 4.369166291735241958e-01
1.202952952952953014e+00 4.426204877504425483e-01
1.204204204204204265e+00 4.482107590745606496e-01
1.205455455455455516e+00 4.536876938985439645e-01
1.206706706706706766e+00 4.590516629874450971e-01
1.207957957957958017e+00 4.643031473060342251e-01
1.209209209209209268e+00 4.694427286596861149e-01
1.210460460460460519e+00 4.744710807884496839e-01
1.211711711711711770e+00 4.793889609110529859e-01
1.212962962962963021e+00 4.841972017132128436e-01
1.214214214214214271e+00 4.888967037724477049e-01
1.215465465465465522e+00 4.934884284098911555e-01
1.216716716716716773e+00 4.979733909581198770e-01
1.217967967967968024e+00 5.023526544327939769e-01
1.219219219219219275e+00 5.066273235949951825e-01
1.220470470470470525e+00 5.107985393903947680e-01
1.221721721721721776e+00 5.148674737508288635e-01
1.222972972972973027e+00 5.188353247435418814e-01
1.224224224224224278e+00 5.227033120530794053e-01
1.225475475475475529e+00 5.264726727807768070e-01
1.226726726726726779e+00 5.301446575467984035e-01
1.227977977977978030e+00 5.337205268797957647e-01
1.229229229229229281e+00 5.372015478795023613e-01
1.230480480480480532e+00 5.405889911378020107e-01
1.231731731731731783e+00 5.438841279042126997e-01
1.232982982982983033e+00 5.470882274820536573e-01
1.234234234234234284e+00 5.502025548420118595e-01
1.235485485485485535e+00 5.532283684402934387e-01
1.236736736736736786e+00 5.561669182289088464e-01
1.237987987987988037e+00 5.590194438464253235e-01
1.239239239239239287e+00 5.617871729774930323e-01
1.240490490490490538e+00 5.644713198705499924e-01
1.241741741741741789e+00 5.670730840031884545e-01
1.242992992992993040e+00 5.695936488853198254e-01
1.244244244244244291e+00 5.720341809907955044e-01
1.245495495495495542e+00 5.743958288085477815e-01
1.246746746746746792e+00 5.766797220048403005e-01
1.247997997997998043e+00 5.788869706886691224e-01
1.249249249249249294e+00 5.810186647727906273e-01
